date,eth_spent,op_bought,avg_price,num_buys
2026-01-02,0.7169671788241134,7451.73150503507,10393.40673481949,1
2026-01-03,0.668637659316984,6764.980270023195,10117.557956477725,1
2026-01-04,0.4449203045556942,4418.321923630538,9930.591790012275,8
2026-01-05,0.4841604742975652,4823.186947993901,9961.959317293566,9
2026-01-06,0.7603447937490813,7407.284347554956,9742.00705844434,5
2026-01-07,0.777177473667594,7723.5784700442,9937.985507474506,6
2026-01-08,0.788044423009375,7912.96075022883,10041.262293324666,2
2026-01-09,0.8665736157415502,8500.486271392694,9809.306580513186,5
2026-01-10,0.749188185206531,7252.267714488487,9680.168291080608,7
2026-01-11,0.345698210846835,3352.858545868114,9698.802136276116,3
2026-01-12,0.3860781913201355,3817.5033747116113,9887.90214142436,7
2026-01-13,0.6414016050385083,6052.0592192801305,9435.67832031973,4
2026-01-14,1.1701079303028536,11140.181581334153,9520.644457516659,1
2026-01-15,0.7315007828879646,6963.349824784142,9519.265033856616,4
2026-01-16,0.6283306521916606,6197.291439454328,9863.105385417293,2
2026-01-17,0.5735145730637236,5463.867837288598,9526.990409503516,7
2026-01-18,0.5534796538356288,5389.348303522346,9737.211234729259,8
2026-01-19,0.5716984451409135,5904.102671967302,10327.302307971198,8
2026-01-20,1.156340046660547,11555.392569543845,9993.074790512746,9
2026-01-21,0.9859215309905558,9520.346869081053,9656.292686412839,3
2026-01-22,1.061702939710802,10025.269492114938,9442.631377516698,4
2026-01-23,0.6792620781042792,6530.332947415651,9613.863570362786,3
2026-01-24,0.7063627282662563,6855.235837572169,9704.979556888733,4
2026-01-25,0.3477919401548602,3423.5550305922566,9843.687087940742,9
2026-01-26,0.6736962858610756,6613.2610938112775,9816.383484077887,7
2026-01-27,0.8043639112657215,7955.850184190606,9890.859190427294,2
2026-01-28,0.6614216779644972,6641.690076432435,10041.53673473783,9
2026-01-29,0.9410304264084716,9549.609750256455,10148.03504994351,1
2026-01-30,1.0156425592375014,10521.544643718651,10359.495619815058,10
2026-01-31,1.2820100902445064,13364.457311149925,10424.611641395928,9
