block_date,fees_eth
2026-01-01 00:00,0.7169671788241134
2026-01-02 00:00,0.668637659316984
2026-01-03 00:00,0.4449203045556942
2026-01-04 00:00,0.4841604742975652
2026-01-05 00:00,0.7603447937490813
2026-01-06 00:00,0.777177473667594
2026-01-07 00:00,0.788044423009375
2026-01-08 00:00,0.8665736157415502
2026-01-09 00:00,0.749188185206531
2026-01-10 00:00,0.34569821084683505
2026-01-11 00:00,0.38607819132013554
2026-01-12 00:00,0.6414016050385083
2026-01-13 00:00,1.1701079303028536
2026-01-14 00:00,0.7315007828879646
2026-01-15 00:00,0.6283306521916606
2026-01-16 00:00,0.5735145730637236
2026-01-17 00:00,0.5534796538356288
2026-01-18 00:00,0.5716984451409135
2026-01-19 00:00,1.1563400466605467
2026-01-20 00:00,0.9859215309905558
2026-01-21 00:00,1.061702939710802
2026-01-22 00:00,0.6792620781042792
2026-01-23 00:00,0.7063627282662563
2026-01-24 00:00,0.3477919401548602
2026-01-25 00:00,0.6736962858610756
2026-01-26 00:00,0.8043639112657215
2026-01-27 00:00,0.6614216779644972
2026-01-28 00:00,0.9410304264084715
2026-01-29 00:00,1.0156425592375014
2026-01-30 00:00,1.2820100902445064
2026-01-31 00:00,6.9595283665390575
